Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
203 I,Ultrapassar pela contramão nas curvas sem visibilidade suficiente,284,2094114,99.44836232565429
244 VIII,"Conduzir motocicleta, motoneta e ciclomotor transportando carga incompatível",277,2094391,99.46151690862551
228,Usar no veículo equip c/ som em volume/freqüência não autorizados pelo Contran,270,2094661,99.47433906531226
182 X,Parar em local/horário proibidos especificamente pela sinalização,260,2094921,99.48668632730691
211,Ultrapassar veíc motorizados em fila parados em razão de bloqueio viário parcial,235,2095156,99.49784635257132
230 VIII,"Conduzir veículo s/ ter sido submetido à inspeção seg veicular, qdo obrigatória",225,2095381,99.50853148314361
182-V,Parar na pista de rolamento das vias de trânsito rápido,221,2095602,99.51902665583907
193,"Transitar com o veículo em ajardinamentos, gramados, jardins públicos",215,2095817,99.52923689171926
230 XX,Conduzir o veículo sem portar a autorização para condução de escolares,214,2096031,99.53939963813025
207,Executar operação de conversão à direita em local proibido pela sinalização,206,2096237,99.54918246878755
211,"Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso",201,2096438,99.5587278520988
220 VI,Deixar de reduzir a velocidade nos trechos em curva de pequeno raio,200,2096638,99.56822574594084
166,Confiar/entregar veíc pess c/ estado físico/psíquico s/ condições dirigir segur,185,2096823,99.57701129774472
162 VI,Dirigir veículo s/ adaptações impostas na concessão/renovação licença conduzir,182,2097005,99.58565438114098
203 I,"Ultrapassar pela contramão nos aclives ou declives, sem visibilidade suficiente",175,2097180,99.59396503825276
193,"Transitar com o veículo em ciclovias, ciclofaixas",173,2097353,99.60218071642613
197,Deixar de deslocar c/antecedência veíc p/ faixa mais à esquerda qdo for manobrar,163,2097516,99.6099214999074
181 XV,Estacionar na contramão de direção,162,2097678,99.61761479391946
206 IV,"Executar retorno nas interseções, entrando na contramão da via transversal",158,2097836,99.62511813005466
193,"Transitar com o veículo em ilhas, refúgios",147,2097983,99.63209908202856
223,Transitar com farol desregulado perturbando visão outro condutor,137,2098120,99.63860513931036
244 III,Conduzir motoc/moton/ciclomotor fazendo malabarismo/equilibrando-se em uma roda,135,2098255,99.64501621765373
184 II,Transitar na faixa/pista da esquerda regul circulação exclusiva determ veículo,131,2098386,99.65123733812027
175,Utiliz veíc dem/exibir manob perig med derrap/frenag c/desliz/arrast pneus,130,2098776,99.66975823111225
165,Dirigir sob a influência de qquer substância psicoativa que deter. dependência,130,2098776,99.66975823111225
163 c/c 162 III,Entregar veículo a pessoa com CNH de categoria diferente da do veículo,130,2098776,99.66975823111225
220 XII,"Deixar de reduzir a velocidade de forma compatível com a segurança, em declive",128,2098904,99.67583688317116
190,Seguir veículo em serv urgência devid identific p/ alarme sonoro/ilum vermelha,127,2099158,99.68789920835054
230 I,Conduzir o veículo com a placa violada/falsificada,127,2099158,99.68789920835054
215 II,Deixar de dar preferência nas interseções com sinalização de Dê a Preferência,124,2099282,99.69378790253262
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, início da marcha",123,2099405,99.69962910724547
182-V,Parar na pista de rolamento das estradas,118,2099523,99.70523286461227
216,Entrar/sair área lindeira sem precaução com a segurança de pedestres e veículos,116,2099639,99.71074164304066
164 c/c 162 II,Permitir posse/condução do veículo a pessoa com CNH/PPD/ACC cassada,110,2099749,99.71596548465378
202 II,Ultrapassar em interseções,107,2099856,99.72104685785928
176 V,"Deixar o cond envolvido em acid, de identificar-se policial e prestar inf p/o BO",106,2099962,99.72608074159555
162 III,Dirigir veículo com PPD de categoria diferente da do veículo,105,2100067,99.73106713586263
