City,Violations_Count,Violations_Count(%),Acum
DOM ELISEU,4372,0.10571818848547088,0.7163241505367033
PATO BRANCO,4368,0.10562146553168728,0.7173803651920202
ARAQUARI,4365,0.10554892331634959,0.7184358544251837
SAO JOAO DEL REI,4362,0.10547638110101189,0.7194906182361938
ANASTACIO,4339,0.10492022411675622,0.7205398204773613
IRATI,4322,0.10450915156317592,0.7215849119929931
ITIQUIRA,4322,0.10450915156317592,0.7226300035086249
CRISTINAPOLIS,4313,0.10429152491716284,0.7236729187577966
CHOROZINHO,4281,0.10351774128689406,0.7247080961706656
SAO SEBASTIAO DO PASSE,4237,0.1024537887952745,0.7257326340586183
PERDOES,4228,0.10223616214926141,0.7267549956801109
SANTO ANTONIO DO LEVERGER,4220,0.10204271624169423,0.7277754228425278
CEARA MIRIM,4219,0.10201853550324833,0.7287956081975603
BANDEIRANTES,4194,0.10141401704210085,0.7298097483679813
CASIMIRO DE ABREU,4181,0.10109966744230416,0.7308207450424044
ITAQUIRAI,4142,0.1001566186429141,0.7318223112288335
CONCEICAO DA BARRA,4134,0.09996317273534688,0.732821942956187
VARGEM,4104,0.09923775058196993,0.7338143204620067
ITAPERUNA,4093,0.09897176245906503,0.7348040380865973
CAPANEMA,4079,0.09863323212082245,0.7357903704078056
LEOPOLDINA,4058,0.09812543661345857,0.7367716247739402
RIO BRILHANTE,4052,0.09798035218278316,0.737751428295768
ARAUCARIA,4038,0.09764182184454058,0.7387278465142134
TANGUA,4003,0.09679549599893411,0.7396958014742028
CRUZ DAS ALMAS,3998,0.09667459230670461,0.7406625473972698
SANTO ANTONIO DE JESUS,3976,0.09614261606089483,0.7416239735578787
CAJAZEIRAS,3976,0.09614261606089483,0.7425853997184876
GUARAPARI,3960,0.09575572424576045,0.7435429569609452
POCOS DE CALDAS,3960,0.09575572424576045,0.7445005142034028
RIO NEGRO,3957,0.09568318203042275,0.7454573460237071
OURICURI,3957,0.09568318203042275,0.7464141778440113
PIRAI,3951,0.09553809759974737,0.7473695588200088
BREJETUBA,3941,0.09529629021528836,0.7483225217221616
